0	2	3	4	5
1	8962	12593	5350	10184
2	8420	12020	5002	7141
3	6605	11464	5834	12757
4	9165	14811	7104	9662
5	6604	12202	4556	6677
6	6095	14535	4807	6875
7	8739	13788	6085	8721
8	7457	12520	6850	7424
9	8417	13511	3796	8385
10	7128	12748	5063	7614
11	5294	12986	3307	7954
12	8650	14306	6580	9205
13	8991	12447	6841	8904
14	6072	13559	6734	8349
15	6840	12795	4862	8463
16	7874	11570	6066	7581
17	5550	12540	6831	7864
18	6586	11755	3825	8901
19	6844	12037	5116	6645
20	8132	13271	3312	6921
21	6330	11477	7098	7673
22	5550	14812	5373	12021
23	5812	15157	6324	6693
24	7614	12232	5633	7657
25	5293	14576	5889	8702
26	8643	14863	7094	8900
27	5811	12448	3881	9936
28	7100	12225	5112	7109
29	19133	14572	5123	10199
30	8651	13726	4083	9185
31	6327	14021	6320	10270
32	5552	11300	5631	8466
33	5810	13526	5807	7670
34	7106	12705	7190	7922
35	8129	13828	4080	9182
36	6329	14027	6319	7470
37	5550	11211	6063	6644
38	5918	13617	5888	9373
39	7108	12705	7095	8712
40	5377	13078	5368	13832
41	8644	14312	4599	9938
42	5550	12541	4854	14786
43	5807	11757	5809	8904
44	7101	13268	7098	9937
45	6847	14386	3826	9463
46	8743	14902	5115	8712
47	6429	12448	3310	9768
48	5548	16885	4288	9933
49	8424	13080	4086	7117
50	7824	13881	6322	6925
51	7875	14123	5631	10501
52	8991	15050	5888	9184
53	5805	12262	6841	9932
54	7100	13020	3625	7161
55	5293	14021	3825	9510
56	8645	11197	5634	8690
57	8904	13547	3312	7402
58	6174	12705	6580	7107
59	8342	11956	6836	7326
