0	2	3	4	5
1	8962	12593	5350	10184
2	8420	12020	5002	7141
3	6605	11464	5834	12757
4	9165	14811	7104	9662
5	6604	12202	4556	6677
6	6095	14535	4807	6875
7	8739	13788	6085	8721
8	7457	12520	6850	7424
9	8417	13511	3796	8385
10	7128	12748	5063	7614
11	5294	12986	3307	7954
12	8650	14306	6580	9205
13	8991	12447	6841	8904
14	6072	13559	5268	8503
15	6840	12795	4862	8463
16	7874	11570	6066	7581
17	5550	12540	6831	7864
18	6586	11755	3825	8901
19	6844	12037	5116	6645
20	8132	13271	3312	6921
21	6331	13471	7099	7672
22	9169	14779	7097	7157
23	6587	11769	3883	14809
24	7618	12045	4855	15855
25	6330	11489	6057	16865
26	7359	14383	3568	15549
27	6687	12518	3827	16604
28	6843	11772	5117	15354
29	8136	13273	5888	16112
30	5552	14027	5374	16857
31	16875	11210	4082	16743
32	7620	13616	4899	16611
33	5294	12801	5633	15826
34	9167	12987	5891	16175
35	8908	14310	7097	17341
36	6072	11962	5364	15552
37	6844	12702	5166	15409
38	8142	13273	3313	17635
39	9165	11488	6843	16940
40	7453	14902	4077	17897
41	6583	11530	6320	8465
42	8429	12043	21233	23805
44	5297	11567	6577	8898
44	8909	14870	4138	7955
45	6176	12225	6403	9744
46	7102	13100	5807	7671
47	7875	14299	7095	7953
48	9170	12551	5373	10504
49	8906	14585	4598	10135
50	8339	13355	6058	6920
51	8141	11475	4288	12227
52	6327	14860	7100	9748
53	5550	13550	3875	8464
54	5808	12797	5120	7201
55	7616	11477	5925	7927
56	7877	11306	7098	9181
57	6330	15050	5375	7458
58	7357	11989	4597	6641
59	8421	12855	5630	6950
