0	2	3	4	5
1	7457	13031	19418	25841
2	8255	14070	16905	25601
3	7877	12341	18391	24783
4	9156	14535	18138	23990
5	6610	14070	19159	25024
6	6867	11188	20440	23814
7	8139	13513	18687	24299
8	7365	12770	18465	24766
9	5843	14256	19416	24311
10	7123	14071	17666	25580
11	5294	11202	17423	23762
12	9168	14583	19675	23003
13	8904	13880	19421	23288
14	6064	20776	17635	25224
15	8423	20450	16833	26781
16	8134	14586	18725	25543
17	7360	26559	18942	24598
18	8491	11768	19427	23267
19	7617	12048	17591	24509
20	7871	13294	16823	25245
21	8651	13097	17166	30719
22	8852	14318	18991	24832
23	6843	13550	19126	24032
24	8651	12702	20451	24315
25	5554	12991	17159	25595
26	7359	14314	18390	23763
27	6845	12551	19211	23034
28	8135	15883	19975	24315
29	6330	12786	20175	25601
30	5549	13070	17342	23804
31	5808	14867	19705	23543
32	6838	15065	18959	25790
33	8135	12265	17706	25058
34	6321	14574	17362	23748
35	5551	13835	19697	23003
36	5808	14868	20765	24068
37	7097	15089	20015	24320
38	5295	12335	20181	25535
39	8654	12989	17447	26295
40	5552	14315	19643	23011
41	8129	12544	18937	23196
42	7095	11767	19131	24558
43	8904	21255	20495	26880
44	6838	13808	18669	26574
45	7874	14025	17915	24816
46	9158	11210	18206	23557
47	6063	13549	19896	25841
48	6856	12806	20257	25086
49	8129	12991	17424	25350
50	6320	13880	19678	26565
51	7360	14124	18944	24827
52	6064	11768	19133	24048
53	8483	12233	20180	25083
54	7614	12988	17355	25349
55	7874	14305	19759	26574
56	9167	15064	19427	24824
57	5808	12235	17680	31689
58	7099	13098	17371	24290
59	5294	13834	18395	25581
